mode,city,n,share,green_view_index,building_view_index,sky_view_index,top_road,top_road_share,top_year,top_year_share,top_month,top_month_share,top_hour,top_hour_share,top_source,top_source_share,top_projection_type,top_projection_type_share,confound_flag
2,Dar es Salaam,1002,0.2004,0.12312333248194356,0.10079330681141634,0.2777672730603809,drive,0.811377245508982,2015,0.5718562874251497,9,0.37624750499001997,11,0.156686626746507,Mapillary,1.0,perspective,1.0,-
0,Jakarta,1516,0.3032,0.22584570084007552,0.16419437335013704,0.09698271893046582,drive,0.7368073878627969,2022,0.45316622691292874,5,0.5408970976253298,16,0.1503957783641161,Mapillary,0.7678100263852242,fisheye,0.612796833773087,-
1,Jakarta,2192,0.4384,0.27251278309409144,0.10813460163118836,0.09964533405974496,drive,0.7823905109489051,2022,0.7778284671532847,5,0.7778284671532847,9,0.23813868613138686,Mapillary,0.9940693430656934,fisheye,0.9940693430656934,"year(+0.27), source(+0.21), projection_type(+0.34)"
2,Jakarta,1292,0.2584,0.24869909486424782,0.12471617741790551,0.14977994734289157,drive,0.8606811145510835,2020,0.5611455108359134,6,0.4311145510835913,14,0.17879256965944273,KartaView,0.5712074303405573,perspective,0.8931888544891641,projection_type(+0.54)
0,Kampala,1931,0.3862,0.14096935480019468,0.09207612857494485,0.11713355476772554,drive,0.8508544795442776,2017,0.45261522527187986,5,0.40704298291040913,8,0.2578974624546867,Mapillary,0.9766960124287933,perspective,1.0,-
1,Kampala,1511,0.3022,0.20655480352229738,0.1950442742247739,0.14735007558065352,drive,0.913964262078094,2018,0.6558570483123759,11,0.5552614162806089,17,0.15089344804765056,Mapillary,0.9781601588352085,perspective,0.9960291197882197,-
2,Kampala,1558,0.3116,0.2457286926750944,0.19126974827114485,0.17396896866737604,drive,0.9390243902439024,2018,0.8369704749679076,11,0.7881899871630296,17,0.14505776636713735,Mapillary,0.9974326059050064,perspective,0.9749679075738126,"year(+0.37), month(+0.37)"
0,Kuwait City,1605,0.321,0.07715039377338224,0.17018711648907206,0.2644353407360503,drive,0.8722741433021807,2022,0.7881619937694704,11,0.7862928348909657,10,0.22990654205607478,Mapillary,1.0,perspective,1.0,-
1,Kuwait City,1318,0.2636,0.08831859597109078,0.20981307028800125,0.20181145884679366,drive,0.8406676783004552,2022,0.6547799696509864,11,0.629742033383915,9,0.251896813353566,Mapillary,1.0,perspective,1.0,-
2,Kuwait City,2077,0.4154,0.05683716821000263,0.16972056829357268,0.23696120936686219,drive,0.9301877708233028,2022,1.0,11,1.0,12,0.2811747713047665,Mapillary,1.0,perspective,1.0,-
0,Lima,1317,0.2634,0.04034036638410757,0.22370877632392003,0.42925477307104504,drive,0.9301442672741078,2016,1.0,7,1.0,10,0.24525436598329536,Mapillary,1.0,perspective,1.0,-
1,Lima,2277,0.4554,0.0516934804732776,0.27252036437142774,0.18825970550287247,drive,0.8959156785243741,2016,0.8234519104084321,7,0.8221343873517787,12,0.2274923144488362,Mapillary,1.0,perspective,1.0,-
2,Lima,1406,0.2812,0.040490338852968204,0.3561304502970971,0.1582582933498782,drive,0.8940256045519204,2016,0.7560455192034139,7,0.7069701280227596,10,0.3029871977240398,Mapillary,1.0,perspective,1.0,-
0,Lisbon,2226,0.4452,0.037680285170789966,0.3728236401589079,0.21149156032522262,drive,0.7070979335130279,2021,0.25381850853548965,12,0.23450134770889489,16,0.15588499550763701,Mapillary,0.9995507637017071,perspective,0.6199460916442049,-
1,Lisbon,2144,0.4288,0.06394621731349115,0.32508143235550624,0.16319137027293704,drive,0.5541044776119403,2017,0.2933768656716418,12,0.2635261194029851,16,0.11054104477611941,Mapillary,1.0,perspective,0.8213619402985075,-
2,Lisbon,630,0.126,0.10167584434860368,0.252554019448971,0.16471958599199182,walk,0.5476190476190477,2022,0.4936507936507937,7,0.6412698412698413,9,0.16666666666666666,Mapillary,1.0,perspective,0.9841269841269841,"month(+0.53), projection_type(+0.23)"
0,Maseru,1063,0.2126,0.21109348363197555,0.1211728046369806,0.2108946333026689,drive,0.7676387582314205,2016,0.32831608654750705,2,0.7046095954844779,16,0.1458137347130762,Mapillary,1.0,perspective,1.0,-
1,Maseru,2111,0.4222,0.20746125215737773,0.0443081318176183,0.2942816919072517,drive,0.9095215537659876,2016,0.3675982946470867,2,0.7513027001421128,16,0.16390336333491237,Mapillary,1.0,perspective,1.0,-
2,Maseru,1826,0.3652,0.2019861193784148,0.019989242630275135,0.3076791770971818,drive,0.9731653888280394,2016,0.4578313253012048,2,0.7185104052573932,16,0.15279299014238773,Mapillary,1.0,perspective,1.0,-
0,Melbourne,2003,0.4006,0.1990189806702889,0.29827376931665867,0.1261826761812381,drive,0.6505242136794808,2020,0.5576635047428856,3,0.254618072890664,12,0.14628057913130305,Mapillary,0.9865202196704943,fisheye,0.9585621567648527,projection_type(+0.25)
1,Melbourne,1241,0.2482,0.16838352785799457,0.20255095533689088,0.10288520796105112,drive,0.5769540692989524,2019,0.36502820306204675,1,0.21434327155519742,1,0.0991136180499597,Mapillary,0.8251410153102336,perspective,0.7316680096696213,projection_type(+0.44)
2,Melbourne,1756,0.3512,0.20104082339205698,0.2344346172250575,0.15864290763878783,drive,0.6594533029612756,2019,0.5535307517084282,11,0.219248291571754,12,0.13439635535307518,Mapillary,0.9219817767653758,fisheye,0.7351936218678815,-
0,Moscow,2266,0.4532,0.035137503695707534,0.25030267708873405,0.11439472047052165,drive,0.6407766990291263,2020,0.6006178287731686,2,0.1209179170344219,12,0.10900264783759929,Mapillary,1.0,perspective,0.8870255957634599,-
1,Moscow,937,0.1874,0.02816033789381152,0.23754893453397682,0.1121923820873702,drive,0.6275346851654215,2020,0.7481323372465315,2,0.27961579509071505,13,0.1376734258271078,Mapillary,0.9626467449306296,perspective,0.80042689434365,-
2,Moscow,1797,0.3594,0.02512420155536575,0.3181773769092505,0.0742170926382855,drive,0.6388425153032833,2020,0.5409015025041736,2,0.24485253199777407,20,0.112409571508069,Mapillary,1.0,perspective,0.5659432387312187,-
